,ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
0,106044784,12.83,07_17,https://www.immobilienscout24.de/expose/106044784,3.0,2,1,102.9,1320,1133,No,Prenzlauer Berg,"Kollwitzstraße 80, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",5 von 6,Gepflegt,sofort,Etagenwohnung,KA,107,80,Gehobene Qualität,KA,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,KA
1,106174217,13.07,07_17,https://www.immobilienscout24.de/expose/106174217,3.0,KA,1,77.2,1009,771,Yep,Wedding,"Nordufer 7a, 13353 Berlin, Wedding (Wedding)",4,Modernisiert,16.08.2018,Etagenwohnung,77.2,238,in Nebenkosten enthalten,KA,1991,"Balkon/ Terrasse, Personenaufzug, Einbauküche, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,B,KA,Tiefgaragen-Stellplatz,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,KA,Fernwärme
2,106169557,17.09,07_17,https://www.immobilienscout24.de/expose/106169557,3.0,KA,1,104.7,1789,1574,No,Prenzlauer Berg,"Bornholmer Straße 19, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",3 von 4,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,145,70,KA,1910,"Balkon/ Terrasse, Einbauküche",erforderlich,140 kWh/(m²*a),KA,Bedarfsausweis,KA,KA,KA,KA,KA,Geschwindigkeit prüfen,zuletzt 2017,Öl
3,106172523,12.55,07_17,https://www.immobilienscout24.de/expose/106172523,3.0,KA,KA,109.41,1373,882,No,Kreuzberg,"Friedrichstr. 237, 10969 Berlin, Kreuzberg (Kreuzberg)",1,Vollständig renoviert,01.10.2018,Etagenwohnung,KA,491,,KA,1901,"Balkon/ Terrasse, Keller",KA,KA,KA,Verbrauchsausweis,KA,"81,3 kWh/(m²*a)",KA,KA,Fernwärme,KA,KA,Fernwärme
4,106170683,17.38,07_17,https://www.immobilienscout24.de/expose/106170683,4.0,3,1,93.21,1620,1350,Yep,Neukölln,"Harzerstr. 4, 12059 Berlin, Neukölln (Neukölln)",4 von 6,Erstbezug nach Sanierung,15.08.2018,Etagenwohnung,5,185,85,Gehobene Qualität,1964,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,127 kWh/(m²*a),KA,KA,Zentralheizung,KA,zuletzt 2018,Gas
5,106177101,15.52,07_17,https://www.immobilienscout24.de/expose/106177101,3.0,KA,KA,69.93,1085,890,No,Wedding,"Glasgower Str. 7A, 13349 Berlin, Wedding (Wedding)",0,KA,Nach Vereinbarung,Erdgeschosswohnung,KA,195,,KA,1908,Keine Besonderheiten,SCHUFA-BonitätsCheck anfordern,161 kWh/(m²*a),KA,Bedarfsausweis,F,KA,KA,KA,Gas-Heizung,Geschwindigkeit prüfen,KA,KA
6,106177297,17.78,07_17,https://www.immobilienscout24.de/expose/106177297,3.0,KA,1,90.0,1600,1300,No,Unknown,10178 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,3 von 5,KA,ab sofort,Etagenwohnung,KA,300,in Nebenkosten enthalten,KA,KA,Einbauküche,SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,KA
7,106167337,14.61,07_17,https://www.immobilienscout24.de/expose/106167337,3.0,KA,2,103.0,1505,1339,Yep,Mitte,"Scharnhorststraße 26-27, 10115 Berlin, Mitte (Mitte)",1 von 5,Erstbezug,01.09.2018,Hochparterre,KA,166,in Nebenkosten enthalten,Gehobene Qualität,1910,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Garten/ -mitbenutzung, Gäste-WC",SCHUFA-BonitätsCheck anfordern,71 kWh/(m²*a),liegt vor,Bedarfsausweis,KA,KA,KA,Nach Vereinbarung,Fernwärme,Geschwindigkeit prüfen,zuletzt 2018,KA
8,104824693,12.45,07_16,https://www.immobilienscout24.de/expose/104824693,3.0,1,1,75.0,934,699,No,Neukölln,"Dieselstraße 15, 12057 Berlin, Neukölln (Neukölln)",2,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,180,55,Normale Qualität,1974,Personenaufzug,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"155,7 kWh/(m²*a)",KA,Nach Vereinbarung,Fernwärme,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
9,105843491,14.28,07_16,https://www.immobilienscout24.de/expose/105843491,4.0,3,1,97.85,1397,1175,Yep,Neukölln,"Reuterstraße 48, 12047 Berlin-Neukölln, Neukölln (Neukölln)",4 von 4,Gepflegt,sofort,Etagenwohnung,97.85,155,67,Gehobene Qualität,1905,Keine Besonderheiten,erforderlich,KA,liegt vor,Verbrauchsausweis,KA,"200,44 kWh/(m²*a)",KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
10,106072806,20.85,07_16,https://www.immobilienscout24.de/expose/106072806,3.0,KA,1,71.0,1480,1252,No,Unknown,10969 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,7 von 9,KA,01.11.2018,Etagenwohnung,KA,228,in Nebenkosten enthalten,KA,KA,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Garten/ -mitbenutzung, Stufenloser Zugang",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,1 Tiefgaragen-Stellplatz,Ja,Zentralheizung,Geschwindigkeit prüfen,KA,KA
11,104824921,12.32,07_16,https://www.immobilienscout24.de/expose/104824921,3.0,KA,1,73.0,899,669,No,Neukölln,"Aronsstr. 61, 12057 Berlin, Neukölln (Neukölln)",5 von 8,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,175,55,Normale Qualität,1972,"Balkon/ Terrasse, Personenaufzug, Gäste-WC",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"119,6 kWh/(m²*a)",KA,Nach Vereinbarung,Fernwärme,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
12,105872760,19.96,07_16,https://www.immobilienscout24.de/expose/105872760,3.0,KA,1,84.72,1691,1389,No,Neukölln,"Fuldastraße 1, 12043 Berlin, Neukölln (Neukölln)",1 von 4,Modernisiert,sofort,Etagenwohnung,KA,198,104,KA,1900,Balkon/ Terrasse,erforderlich,KA,KA,Verbrauchsausweis,KA,169 kWh/(m²*a),KA,KA,KA,Geschwindigkeit prüfen,KA,Gas
13,105891820,16.41,07_16,https://www.immobilienscout24.de/expose/105891820,3.0,2,1,88.07,1445,1233,No,Kreuzberg,"Mehringdamm 82, 10965 Berlin-Kreuzberg, Kreuzberg (Kreuzberg)",2 von 5,Renovierungsbedürftig,sofort,Etagenwohnung,88.07,131,81,Normale Qualität,1888,Keine Besonderheiten,erforderlich,KA,liegt vor,Verbrauchsausweis,KA,129 kWh/(m²*a),KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Öl
14,106025787,15.27,07_16,https://www.immobilienscout24.de/expose/106025787,3.0,KA,KA,74.58,1139,935,Yep,Neukölln,"Weserstr. 92, 12045 Berlin, Neukölln (Neukölln)",0,Gepflegt,KA,Erdgeschosswohnung,KA,204,,KA,1908,Keine Besonderheiten,SCHUFA-BonitätsCheck anfordern,"170,5 kWh/(m²*a)",KA,Bedarfsausweis,F,KA,KA,KA,Fernwärme,KA,KA,Fernwärme
15,104897042,14.26,07_16,https://www.immobilienscout24.de/expose/104897042,4.0,KA,1,112.8,1609,1449,No,Unknown,10115 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,5 von 5,KA,ab sofort,KA,KA,160,in Nebenkosten enthalten,KA,1900,"Balkon/ Terrasse, Keller",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,Nein,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
16,105846248,12.53,07_16,https://www.immobilienscout24.de/expose/105846248,4.0,4,1,143.85,1803,1438,No,Prenzlauer Berg,"Schönhauser Allee 133, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)",4 von 4,Gepflegt,sofort,Etagenwohnung,KA,195,170,Normale Qualität,1895,"Balkon/ Terrasse, Keller",SCHUFA-BonitätsCheck anfordern,KA,liegt zur Besichtigung vor,KA,KA,KA,KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,KA,Erdgas schwer
17,106079664,19.2,07_16,https://www.immobilienscout24.de/expose/106079664,3.0,2,2,93.33,1792,1540,Yep,Mitte,"Neue Grünstraße 19b, 10179 Berlin, Mitte (Mitte)",2 von 7,Erstbezug,sofort,Etagenwohnung,KA,252,in Nebenkosten enthalten,Luxus,2018,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Garten/ -mitbenutzung, Gäste-WC, Stufenloser Zugang, WG-geeignet",erforderlich,"81,2 kWh/(m²*a)",liegt vor,Bedarfsausweis,C,KA,1 Tiefgaragen-Stellplatz,KA,Zentralheizung,Verfügbarkeit prüfen,KA,Fernwärme
18,106028376,15.6,07_16,https://www.immobilienscout24.de/expose/106028376,3.0,KA,1,83.0,1295,1035,No,Neukölln,"Hertzbergstrasse XX, 12055 Berlin, Neukölln (Neukölln)",3 von 5,Erstbezug nach Sanierung,ab sofort,Etagenwohnung,KA,260,in Nebenkosten enthalten,Gehobene Qualität,1900,"Einbauküche, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,154 kWh/(m²*a),KA,Nach Vereinbarung,Zentralheizung,KA,zuletzt 2018,KA
19,105492396,15.09,07_16,https://www.immobilienscout24.de/expose/105492396,3.0,2,1,98.78,1491,1285,No,Neukölln,"Sanderstraße 20, 12047 Berlin-Neukölln, Neukölln (Neukölln)",3 von 4,Renovierungsbedürftig,sofort,Etagenwohnung,98.78,122,84,Normale Qualität,1900,Keller,erforderlich,KA,liegt vor,Verbrauchsausweis,KA,99 kWh/(m²*a),KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
20,104919680,12.63,07_16,https://www.immobilienscout24.de/expose/104919680,3.0,2,1,68.0,859,649,No,Neukölln,"Aronsstr. 128, 12057 Berlin, Neukölln (Neukölln)",10,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,160,50,Normale Qualität,1971,"Balkon/ Terrasse, Personenaufzug, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"130,4 kWh/(m²*a)",KA,Nach Vereinbarung,Fernwärme,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
21,105751086,12.32,07_16,https://www.immobilienscout24.de/expose/105751086,3.0,KA,1,73.0,899,669,No,Neukölln,"Aronsstr. 57, 12057 Berlin, Neukölln (Neukölln)",4,Modernisiert,sofort,Etagenwohnung,KA,175,55,Normale Qualität,1972,"Balkon/ Terrasse, Personenaufzug",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"119,6 kWh/(m²*a)",KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
22,104955605,23.53,07_16,https://www.immobilienscout24.de/expose/104955605,3.0,KA,1,68.0,1600,1600,Yep,Kreuzberg,"Lausitzer Straße 35, 10999 Berlin, Kreuzberg (Kreuzberg)",2 von 4,Erstbezug nach Sanierung,KA,Etagenwohnung,KA,0,in Nebenkosten enthalten,Gehobene Qualität,unbekannt,"Keller, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt zur Besichtigung vor,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2018,Gas
23,103224783,13.48,07_16,https://www.immobilienscout24.de/expose/103224783,4.0,KA,2,114.0,1537,1277,No,Prenzlauer Berg,"Winstrasse 8, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",KA,Saniert,01.05.18,Erdgeschosswohnung,KA,260,in Nebenkosten enthalten,Gehobene Qualität,KA,"Balkon/ Terrasse, Keller, Garten/ -mitbenutzung, Gäste-WC",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,KA,Geschwindigkeit prüfen,zuletzt 2008,KA
24,102146263,17.67,07_16,https://www.immobilienscout24.de/expose/102146263,3.0,2,2,98.27,1736,1490,Yep,Mitte,"Beuthstraße 15, 10117 Berlin, Mitte (Mitte)",1,Erstbezug,sofort,Hochparterre,KA,246,in Nebenkosten enthalten,KA,2017,"Balkon/ Terrasse, Personenaufzug, Einbauküche",KA,"70,8 kWh/(m²*a)",KA,Bedarfsausweis,B,KA,1 Tiefgaragen-Stellplatz,KA,Fußbodenheizung,KA,KA,KA
25,106134315,17.17,07_16,https://www.immobilienscout24.de/expose/106134315,3.0,KA,1,90.3,1550,1300,No,Mitte,"Neue Promenade 7, 10178 Berlin, Mitte (Mitte)",4 von 6,KA,01.09.2018,Sonstige,KA,250,in Nebenkosten enthalten,KA,KA,"Keller, Personenaufzug, Einbauküche, Stufenloser Zugang",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,KA
26,105023960,18.66,07_16,https://www.immobilienscout24.de/expose/105023960,3.0,1,2,85.35,1593,1370,Yep,Kreuzberg,"Stresemannstraße 67, 10963 Berlin, Kreuzberg (Kreuzberg)",4 von 7,Erstbezug,13.02.2019,Etagenwohnung,KA,223,in Nebenkosten enthalten,Gehobene Qualität,KA,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,"61,4 kWh/(m²*a)",liegt vor,Bedarfsausweis,B,KA,KA,Nach Vereinbarung,Zentralheizung,Verfügbarkeit prüfen,KA,KWK fossil
27,105751339,12.66,07_16,https://www.immobilienscout24.de/expose/105751339,3.0,KA,1,71.0,899,669,No,Neukölln,"Aronsstr. 71, 12057 Berlin, Neukölln (Neukölln)",5,Modernisiert,sofort,Etagenwohnung,KA,175,55,Normale Qualität,1972,"Balkon/ Terrasse, Personenaufzug",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"116,1 kWh/(m²*a)",KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
28,106155994,15.82,07_16,https://www.immobilienscout24.de/expose/106155994,3.0,3,1,110.0,1740,1600,No,Mitte,"Schwartzkopffstr. 4, 10115 Berlin, Mitte (Mitte)",3 von 4,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,140,nicht in Nebenkosten enthalten,Gehobene Qualität,KA,WG-geeignet,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,KA,KA,KA,KA,KA,KA,Geschwindigkeit prüfen,zuletzt 2018,KA
